Employee_ID,Job_Role,Monthly_Income,Salary_Rank,income_vs_role_avg,Attrition
1661,"Healthcare Representative",13966,1,1.86,No
431,"Healthcare Representative",13964,2,1.85,No
258,"Healthcare Representative",13734,3,1.82,No
1278,"Healthcare Representative",13577,4,1.80,No
119,"Healthcare Representative",13503,5,1.79,No
372,"Healthcare Representative",13496,6,1.79,No
1127,"Healthcare Representative",12169,7,1.62,Yes
1606,"Healthcare Representative",11245,8,1.49,No
762,"Healthcare Representative",11103,9,1.47,No
1024,"Healthcare Representative",10999,10,1.46,No
499,"Healthcare Representative",10965,11,1.46,No
343,"Healthcare Representative",10938,12,1.45,No
1397,"Healthcare Representative",10920,13,1.45,No
1697,"Healthcare Representative",10883,14,1.45,No
1460,"Healthcare Representative",10851,15,1.44,No
1712,"Healthcare Representative",10748,16,1.43,No
124,"Healthcare Representative",10673,17,1.42,No
940,"Healthcare Representative",10552,18,1.40,No
624,"Healthcare Representative",10527,19,1.40,No
491,"Healthcare Representative",10496,20,1.39,No
1484,"Healthcare Representative",10466,21,1.39,No
1118,"Healthcare Representative",10445,22,1.39,No
1014,"Healthcare Representative",10388,23,1.38,No
1092,"Healthcare Representative",10322,24,1.37,No
165,"Healthcare Representative",10312,25,1.37,Yes
36,"Healthcare Representative",10248,26,1.36,No
1547,"Healthcare Representative",10124,27,1.34,No
83,"Healthcare Representative",10096,28,1.34,No
2062,"Healthcare Representative",9991,29,1.33,No
451,"Healthcare Representative",9985,30,1.33,No
70,"Healthcare Representative",9884,31,1.31,No
634,"Healthcare Representative",9824,32,1.30,No
587,"Healthcare Representative",9824,32,1.30,Yes
1544,"Healthcare Representative",9715,34,1.29,No
417,"Healthcare Representative",9613,35,1.28,No
223,"Healthcare Representative",9439,36,1.25,No
288,"Healthcare Representative",9396,37,1.25,No
1821,"Healthcare Representative",8926,38,1.19,Yes
1590,"Healthcare Representative",8853,39,1.18,No
1088,"Healthcare Representative",8823,40,1.17,No
1082,"Healthcare Representative",8722,41,1.16,Yes
1993,"Healthcare Representative",8633,42,1.15,No
717,"Healthcare Representative",8621,43,1.15,No
1529,"Healthcare Representative",8606,44,1.14,No
1344,"Healthcare Representative",8500,45,1.13,No
1790,"Healthcare Representative",8321,46,1.11,No
1651,"Healthcare Representative",8008,47,1.06,No
1295,"Healthcare Representative",7978,48,1.06,Yes
1703,"Healthcare Representative",7879,49,1.05,No
1103,"Healthcare Representative",7756,50,1.03,No
692,"Healthcare Representative",7725,51,1.03,No
586,"Healthcare Representative",7632,52,1.01,No
724,"Healthcare Representative",7625,53,1.01,No
1421,"Healthcare Representative",7553,54,1.00,Yes
1971,"Healthcare Representative",7510,55,1.00,No
145,"Healthcare Representative",7484,56,0.99,No
1553,"Healthcare Representative",7441,57,0.99,No
1099,"Healthcare Representative",7119,58,0.95,No
1312,"Healthcare Representative",7094,59,0.94,No
1689,"Healthcare Representative",7005,60,0.93,No
969,"Healthcare Representative",6949,61,0.92,No
1814,"Healthcare Representative",6870,62,0.91,No
1664,"Healthcare Representative",6842,63,0.91,No
1251,"Healthcare Representative",6833,64,0.91,No
1252,"Healthcare Representative",6812,65,0.90,No
764,"Healthcare Representative",6811,66,0.90,No
616,"Healthcare Representative",6811,66,0.90,No
477,"Healthcare Representative",6781,68,0.90,No
482,"Healthcare Representative",6755,69,0.90,No
1383,"Healthcare Representative",6687,70,0.89,No
282,"Healthcare Representative",6673,71,0.89,Yes
1955,"Healthcare Representative",6667,72,0.89,No
1473,"Healthcare Representative",6651,73,0.88,No
1260,"Healthcare Representative",6623,74,0.88,No
924,"Healthcare Representative",6586,75,0.87,No
496,"Healthcare Representative",6540,76,0.87,No
1822,"Healthcare Representative",6513,77,0.87,No
40,"Healthcare Representative",6465,78,0.86,No
1515,"Healthcare Representative",6388,79,0.85,No
1034,"Healthcare Representative",6385,80,0.85,No
1859,"Healthcare Representative",6384,81,0.85,No
1375,"Healthcare Representative",6377,82,0.85,No
2026,"Healthcare Representative",6306,83,0.84,No
1753,"Healthcare Representative",6294,84,0.84,No
837,"Healthcare Representative",6288,85,0.84,No
757,"Healthcare Representative",6142,86,0.82,No
1587,"Healthcare Representative",6142,86,0.82,No
1970,"Healthcare Representative",5968,88,0.79,No
852,"Healthcare Representative",5933,89,0.79,No
961,"Healthcare Representative",5855,90,0.78,No
1766,"Healthcare Representative",5811,91,0.77,No
393,"Healthcare Representative",5745,92,0.76,No
1161,"Healthcare Representative",5731,93,0.76,No
2049,"Healthcare Representative",5689,94,0.76,No
412,"Healthcare Representative",5661,95,0.75,No
422,"Healthcare Representative",5660,96,0.75,No
367,"Healthcare Representative",5582,97,0.74,No
1727,"Healthcare Representative",5562,98,0.74,No
902,"Healthcare Representative",5562,98,0.74,No
1803,"Healthcare Representative",5538,100,0.74,No
998,"Healthcare Representative",5488,101,0.73,No
1922,"Healthcare Representative",5399,102,0.72,No
1954,"Healthcare Representative",5373,103,0.71,No
1682,"Healthcare Representative",5347,104,0.71,No
1184,"Healthcare Representative",5343,105,0.71,No
1763,"Healthcare Representative",5294,106,0.70,No
13,"Healthcare Representative",5237,107,0.70,No
139,"Healthcare Representative",5163,108,0.69,No
771,"Healthcare Representative",5093,109,0.68,No
1597,"Healthcare Representative",5063,110,0.67,No
1903,"Healthcare Representative",5033,111,0.67,No
2009,"Healthcare Representative",4878,112,0.65,No
287,"Healthcare Representative",4876,113,0.65,No
1033,"Healthcare Representative",4777,114,0.63,Yes
390,"Healthcare Representative",4741,115,0.63,No
1981,"Healthcare Representative",4617,116,0.61,No
721,"Healthcare Representative",4553,117,0.60,No
551,"Healthcare Representative",4523,118,0.60,No
526,"Healthcare Representative",4522,119,0.60,No
1829,"Healthcare Representative",4448,120,0.59,No
793,"Healthcare Representative",4335,121,0.58,No
807,"Healthcare Representative",4244,122,0.56,No
1022,"Healthcare Representative",4240,123,0.56,No
117,"Healthcare Representative",4152,124,0.55,No
1630,"Healthcare Representative",4148,125,0.55,No
1062,"Healthcare Representative",4107,126,0.55,No
659,"Healthcare Representative",4089,127,0.54,No
1552,"Healthcare Representative",4069,128,0.54,No
1501,"Healthcare Representative",4035,129,0.54,No
942,"Healthcare Representative",4014,130,0.53,No
369,"Healthcare Representative",4000,131,0.53,No
698,"Human Resources",10725,1,2.53,No
1098,"Human Resources",10482,2,2.47,Yes
590,"Human Resources",9950,3,2.35,Yes
1744,"Human Resources",9756,4,2.30,No
2040,"Human Resources",8837,5,2.09,No
1419,"Human Resources",7988,6,1.89,No
1722,"Human Resources",6430,7,1.52,No
424,"Human Resources",6410,8,1.51,No
760,"Human Resources",6389,9,1.51,No
184,"Human Resources",6347,10,1.50,No
1231,"Human Resources",6272,11,1.48,No
1563,"Human Resources",6077,12,1.43,No
665,"Human Resources",5985,13,1.41,No
1642,"Human Resources",5743,14,1.36,No
909,"Human Resources",5204,15,1.23,No
103,"Human Resources",5021,16,1.19,No
869,"Human Resources",4936,17,1.17,No
1289,"Human Resources",4490,18,1.06,No
1164,"Human Resources",4323,19,1.02,No
1794,"Human Resources",4071,20,0.96,No
1890,"Human Resources",3886,21,0.92,No
847,"Human Resources",3737,22,0.88,No
1207,"Human Resources",3600,23,0.85,No
1778,"Human Resources",3539,24,0.84,No
1314,"Human Resources",3423,25,0.81,No
1683,"Human Resources",3195,26,0.75,No
1972,"Human Resources",2991,27,0.71,No
1842,"Human Resources",2956,28,0.70,Yes
177,"Human Resources",2942,29,0.69,No
1944,"Human Resources",2863,30,0.68,Yes
1152,"Human Resources",2844,31,0.67,No
1865,"Human Resources",2804,32,0.66,No
1467,"Human Resources",2742,33,0.65,Yes
608,"Human Resources",2741,34,0.65,Yes
1858,"Human Resources",2706,35,0.64,No
470,"Human Resources",2696,36,0.64,No
1805,"Human Resources",2592,37,0.61,No
566,"Human Resources",2564,38,0.61,Yes
878,"Human Resources",2342,39,0.55,No
1844,"Human Resources",2335,40,0.55,Yes
910,"Human Resources",2277,41,0.54,No
321,"Human Resources",2267,42,0.54,No
1987,"Human Resources",2187,43,0.52,No
1747,"Human Resources",2180,44,0.51,Yes
1049,"Human Resources",2177,45,0.51,No
1818,"Human Resources",2148,46,0.51,Yes
1746,"Human Resources",2145,47,0.51,No
829,"Human Resources",2143,48,0.51,No
1461,"Human Resources",2109,49,0.50,No
