Employee_ID,Department,Job_Role,Monthly_Income,Attrition,risk_score,Risk_Category
702,"Research & Development","Research Scientist",3348,Yes,9,Critical
780,"Research & Development","Research Scientist",2686,Yes,8,Critical
881,"Research & Development","Research Scientist",2022,Yes,8,Critical
913,"Research & Development","Research Scientist",2559,No,8,Critical
1053,"Research & Development","Research Scientist",2042,Yes,8,Critical
1244,"Research & Development","Research Scientist",2235,No,8,Critical
1405,"Research & Development","Research Scientist",2394,Yes,8,Critical
1649,"Research & Development","Laboratory Technician",2166,Yes,8,Critical
1691,Sales,"Sales Representative",2655,Yes,8,Critical
33,"Research & Development","Research Scientist",3919,Yes,7,Critical
141,"Research & Development","Research Director",18172,No,7,Critical
163,Sales,"Sales Executive",6172,Yes,7,Critical
267,"Research & Development","Research Scientist",3564,No,7,Critical
382,Sales,"Sales Executive",5605,No,7,Critical
401,Sales,"Sales Executive",5828,Yes,7,Critical
846,Sales,"Sales Executive",4779,No,7,Critical
1106,"Research & Development","Laboratory Technician",3691,Yes,7,Critical
1157,Sales,"Sales Executive",8224,Yes,7,Critical
1277,Sales,Manager,18824,Yes,7,Critical
1299,"Research & Development","Laboratory Technician",3339,Yes,7,Critical
1389,"Research & Development","Manufacturing Director",6179,Yes,7,Critical
1489,Sales,"Sales Executive",4599,Yes,7,Critical
1667,Sales,"Sales Executive",4581,Yes,7,Critical
1669,Sales,"Sales Executive",4187,No,7,Critical
1758,Sales,"Sales Executive",8564,Yes,7,Critical
1797,Sales,"Sales Executive",5813,Yes,7,Critical
1968,Sales,"Sales Executive",10448,Yes,7,Critical
4,"Research & Development","Laboratory Technician",2090,Yes,6,High
19,"Research & Development","Laboratory Technician",2028,Yes,6,High
45,"Research & Development","Research Scientist",2293,Yes,6,High
47,Sales,"Sales Representative",2683,Yes,6,High
133,"Human Resources","Human Resources",2073,Yes,6,High
137,"Research & Development","Laboratory Technician",2926,Yes,6,High
167,Sales,"Sales Representative",1675,Yes,6,High
297,"Research & Development","Research Scientist",2657,Yes,6,High
315,"Research & Development","Research Scientist",2389,Yes,6,High
325,"Research & Development","Laboratory Technician",2436,Yes,6,High
328,"Research & Development","Laboratory Technician",2707,Yes,6,High
394,"Research & Development","Laboratory Technician",2373,Yes,6,High
454,"Research & Development","Laboratory Technician",2119,Yes,6,High
478,Sales,"Sales Representative",2174,Yes,6,High
485,Sales,"Sales Representative",2851,Yes,6,High
514,"Research & Development","Research Scientist",2285,Yes,6,High
608,"Human Resources","Human Resources",2741,Yes,6,High
614,Sales,"Sales Representative",1878,Yes,6,High
622,"Research & Development","Laboratory Technician",2340,Yes,6,High
647,"Research & Development","Laboratory Technician",2886,Yes,6,High
701,"Research & Development","Research Scientist",1009,Yes,6,High
741,"Research & Development","Research Scientist",2216,Yes,6,High
752,"Research & Development","Research Scientist",2759,Yes,6,High
811,"Research & Development","Laboratory Technician",1601,Yes,6,High
